"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","cloudy weather,chance of rain in your area","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-01 14:30:43.950"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILIZER DOSE","Apply 12.5 t of FYM or vermi compost with 25kg urea+25 kg DAP+15 kg MOP + 1Kg azetobacter+1 kg P.S.B+1KG tricoderma viridi with 8-10 kg zinc per acre","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-01 14:39:07.177"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-02 06:17:04.063"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomorrow  cloudy weather in your area and little chances of rain.","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-02 14:32:51.220"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","???? ??? ??????  ????? ???? ?? ??????? ????","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-02 20:28:13.153"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CHANCE OF RAIN TODAY","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-03 06:06:20.980"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Fertilizer Use and Availability","INFORMATION ABOUT APPLICATION OF FERTILIZER IN BAJRA","APPLICATION OF NITROGEN AS TOP DRESSING DURING FLOWERING AND FRUIT BEARING IN BAJRA","BIHAR","SHEOHAR","DUMARI KATSARI                                    ","2016-07-03 08:12:34.053"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER","BIHAR","SHEOHAR","DUMARI KATSARI                                    ","2016-07-03 08:14:37.187"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information","???? ??? ??????  ????? ???? ?? ??????? ????","BIHAR","SHEOHAR","PURNAHIYA                                         ","2016-07-03 13:26:50.387"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","about vermicompost dose and time of application","dose : 2-5 tonne/ha and time :8-10 days before sowing","BIHAR","SHEOHAR","TARIYANI                                          ","2016-07-04 07:06:25.877"
