Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is mostly cloudy and no Possibility of Rainfall,MAHARASHTRA,WASHIM,RISOD                                             ,17:46.4
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is mostly cloudy and no Possibility of Rainfall,MAHARASHTRA,WASHIM,RISOD                                             ,17:46.4
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Cloudy Weather Rainfall Chances Today.,MAHARASHTRA,WASHIM,WASHIM                                            ,56:37.5
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,Cloudy Weather Rainfall Chances Today.,MAHARASHTRA,WASHIM,WASHIM                                            ,56:37.5
JAYAD,AGRICULTURE,Oilseeds,Soybean (bhat),Market Information,FARMER ASKED ABOUT MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN -3200-3400  RS/QTL,MAHARASHTRA,WASHIM,RISOD                                             ,57:28.0
JAYAD,AGRICULTURE,Oilseeds,Soybean (bhat),Market Information,FARMER ASKED ABOUT MARKET RATE OF SOYBEAN ?,MARKET RATE OF SOYBEAN -3200-3400  RS/QTL,MAHARASHTRA,WASHIM,RISOD                                             ,57:28.0
JAYAD,AGRICULTURE,Oilseeds,Soybean (bhat),Market Information,asked about market rate of soybean ?,Rs 3275-3435/qtl karanja soybean market,MAHARASHTRA,WASHIM,MALEGAON                                          ,11:37.2
JAYAD,AGRICULTURE,Oilseeds,Soybean (bhat),Market Information,asked about market rate of soybean ?,Rs 3275-3435/qtl karanja soybean market,MAHARASHTRA,WASHIM,MALEGAON                                          ,11:37.2
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This Week Weather is Partly Cloudy and Possibility of light Rainfall.,MAHARASHTRA,WASHIM,WASHIM                                            ,31:12.5
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This Week Weather is Partly Cloudy and Possibility of light Rainfall.,MAHARASHTRA,WASHIM,WASHIM                                            ,31:12.5
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall,MAHARASHTRA,WASHIM,KARANJA                                           ,38:07.2
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall,MAHARASHTRA,WASHIM,KARANJA                                           ,38:07.2
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and LIGHT Possibility of Rainfall,MAHARASHTRA,WASHIM,MALEGAON                                          ,51:47.2
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is CLOUDY and LIGHT Possibility of Rainfall,MAHARASHTRA,WASHIM,MALEGAON                                          ,51:47.2
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is cloudy and Possibility of Rainfall.,MAHARASHTRA,WASHIM,MANORA                                            ,08:27.1
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is cloudy and Possibility of Rainfall.,MAHARASHTRA,WASHIM,MANORA                                            ,08:27.1
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,"Cloudy  Weather, No Possibility of Rain.
 +29°
 3 m/s
Clear
Precip chance: 1%
Humidity: 48%",MAHARASHTRA,WASHIM,MALEGAON                                          ,53:38.8
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,"Cloudy  Weather, No Possibility of Rain.
 +29°
 3 m/s
Clear
Precip chance: 1%
Humidity: 48%",MAHARASHTRA,WASHIM,MALEGAON                                          ,53:38.8
KHARIF,AGRICULTURE,Others,Others,Weather,"Asking about weather forecast? 
Cloudy  Weather, No Possibility of Rain.
 +2","9°
 3 m/s
Clear
Precip chance: 1%
Humidity: 48%",MAHARASHTRA,WASHIM,MALEGAON                                          ,43:44.9
KHARIF,AGRICULTURE,Others,Others,Weather,"Asking about weather forecast? 
Cloudy  Weather, No Possibility of Rain.
 +2","9°
 3 m/s
Clear
Precip chance: 1%
Humidity: 48%",MAHARASHTRA,WASHIM,MALEGAON                                          ,43:44.9
JAYAD,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Varieties,ASKED ABOUT GREEN GRAM VARIETIES?,"GREEN GRAM VARIETIES=T-1,T-44,CHAMKI,JALGAON-781,TAP-7,KOPERGAON,FULE M-2.",MAHARASHTRA,WASHIM,KARANJA                                           ,44:19.3
JAYAD,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Varieties,ASKED ABOUT GREEN GRAM VARIETIES?,"GREEN GRAM VARIETIES=T-1,T-44,CHAMKI,JALGAON-781,TAP-7,KOPERGAON,FULE M-2.",MAHARASHTRA,WASHIM,KARANJA                                           ,44:19.3
JAYAD,AGRICULTURE,Others,Others,Weather,Farmer needs information regarding weather  for manora block of washim district of maharastra state?,"Manora 1 – 3 Day Weather Forecast Summary: Light rain (total 2mm), mostly falling on Sun night. Warm (max 42.4°C on Sun afternoon, min 32.1°C on Fri morning). Winds increasing (light winds from the NNW on Sat night, strong winds from the NW by Sun night).",MAHARASHTRA,WASHIM,MANORA                                            ,47:49.4
JAYAD,AGRICULTURE,Others,Others,Weather,Farmer needs information regarding weather  for manora block of washim district of maharastra state?,"Manora 1 – 3 Day Weather Forecast Summary: Light rain (total 2mm), mostly falling on Sun night. Warm (max 42.4°C on Sun afternoon, min 32.1°C on Fri morning). Winds increasing (light winds from the NNW on Sat night, strong winds from the NW by Sun night).",MAHARASHTRA,WASHIM,MANORA                                            ,47:49.4
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week Cloudy Weather , Light Rainfall Chances .",MAHARASHTRA,WASHIM,KARANJA                                           ,58:41.7
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week Cloudy Weather , Light Rainfall Chances .",MAHARASHTRA,WASHIM,KARANJA                                           ,58:41.7
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS cloudy  RAINFALL CHANCES,MAHARASHTRA,WASHIM,MALEGAON                                          ,01:41.1
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS cloudy  RAINFALL CHANCES,MAHARASHTRA,WASHIM,MALEGAON                                          ,01:41.1
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY WITH CHANCES OF LIGHT RAINFALL .,MAHARASHTRA,WASHIM,MANGRULPIR                                        ,26:41.4
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY WITH CHANCES OF LIGHT RAINFALL .,MAHARASHTRA,WASHIM,MANGRULPIR                                        ,26:41.4
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY CHANCES OF LIGHT AND  MEDIUM RAINFALL CHANCES,MAHARASHTRA,WASHIM,MANORA                                            ,44:07.3
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY CHANCES OF LIGHT AND  MEDIUM RAINFALL CHANCES,MAHARASHTRA,WASHIM,MANORA                                            ,44:07.3
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,WASHIM,MANORA                                            ,57:45.9
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,WASHIM,MANORA                                            ,57:45.9
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS cloudy  RAINFALL CHANCES,MAHARASHTRA,WASHIM,MANGRULPIR                                        ,09:14.5
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS cloudy  RAINFALL CHANCES,MAHARASHTRA,WASHIM,MANGRULPIR                                        ,09:14.5
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,WASHIM,WASHIM                                            ,09:53.0
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is cloudy and light to moderate possibility of rainfall.,MAHARASHTRA,WASHIM,WASHIM                                            ,09:53.0
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY WITH CHANCES OF LIGHT RAINFALL .,MAHARASHTRA,WASHIM,KARANJA                                           ,03:59.9
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY WITH CHANCES OF LIGHT RAINFALL .,MAHARASHTRA,WASHIM,KARANJA                                           ,03:59.9
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week Cloudy Weather , Light Rainfall Chances .",MAHARASHTRA,WASHIM,WASHIM                                            ,45:30.0
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week Cloudy Weather , Light Rainfall Chances .",MAHARASHTRA,WASHIM,WASHIM                                            ,45:30.0
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week weather is cloudy,Chances of light to medium rainfall.",MAHARASHTRA,WASHIM,MANGRULPIR                                        ,10:05.9
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER FORECAST ?,"This week weather is cloudy,Chances of light to medium rainfall.",MAHARASHTRA,WASHIM,MANGRULPIR                                        ,10:05.9
